CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeSwap%,Mem_freeSwap,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
5,6.1667,4.6667,5.1667,3.5,1374125.715,22917.3735,167.5016,2.7936,0.16,0.09,0.088,86,7048210432,95,7788192427,100,104853504,95,7893045931,741.08,445.8,1041.6,0,2757410.7,45979.8349,1979111.031,33001.6847,778299.6686,12978.1502,TVMwL
13.3333,15.3333,13.3333,13.3333,11.6667,303625.255,5062.9524,34.4337,0.5742,0.4557,0.1843,0.1229,86,7045898240,95,7786594304,100,104853504,95,7891447808,1329.5667,748,2240.1667,0,3516502.153,58647.4675,2755400.399,45953.976,761101.7536,12693.4916,TVMwL
13.8333,15.5,14.6667,14,10,321421.1204,5359.6985,36.3146,0.6055,0.658,0.292,0.162,86,7045812224,95,7786588843,100,104853504,95,7891442347,1439.5333,762.6667,2367.3333,0,3539642.88,59023.5598,2784128.508,46425.3545,755514.3715,12598.2053,TVMwL
13.5,18.3333,12.5,12,10.3333,297209.7149,4955.9732,33.7718,0.5631,0.6517,0.355,0.1917,86,7045640192,95,7786521941,100,104853504,95,7891375445,1314.2,862.5,1970.6667,0,3467105.879,57814.005,2730737.14,45535.0532,736368.7393,12278.9518,TVMwL
13.5,13.3333,13.8333,10.3333,16.3333,325971.5329,5435.5767,35.2478,0.5878,0.8483,0.4617,0.2383,86,7045253120,95,7786227712,100,104853504,95,7891081216,1157.6333,831.5,1645.1667,0,3563837.975,59427.0131,2791061.285,46540.9586,772776.6901,12886.0545,TVMwL
12.6667,19.6667,12.6667,9.3333,10,510347.0803,8510.0397,66.3219,1.1059,0.7333,0.5,0.2683,86,7045038763,95,7786260480,100,104853504,95,7891113984,1415.2333,781.8333,2367.5,0,3357212.365,55981.5302,2664021.104,44422.563,693191.2613,11558.9672,TVMwL
12,19.3333,9.6667,10.8333,9.6667,289868.0048,4833.5502,33.4797,0.5583,0.59,0.5067,0.285,86,7045382144,95,7786703531,100,104853504,95,7891557035,1041.9143,155.2857,2264.7143,0,3418186.511,56998.2743,2669636.072,44516.1926,748550.4392,12482.0817,TVMwL
13.3333,16.6667,14.3333,12,9.6667,296288.0497,4940.6045,34.5678,0.5764,0.72,0.5529,0.3129,86,7047168000,95,7788564480,100,104853504,95,7893417984,1123.48,409.2,1746.8,0,3380338.607,56367.1604,2688940.472,44838.0936,691398.135,11529.0668,TVMwL
14.1667,13.3333,12.1667,18.1667,13.6667,301634.0234,5029.7486,35.0189,0.5839,0.862,0.63,0.352,86,7046800043,95,7788302336,100,104853504,95,7893155840,976.12,267.6,1924.4,0,3237828.348,53981.7997,2579647.217,43008.4564,658181.1313,10973.3433,TVMwL
13.3333,14.1667,12.6667,13.5,11.8333,290475.2455,4842.8684,32.7276,0.5456,0.7314,0.6314,0.3729,86,7046336512,95,7787924139,100,104853504,95,7892777643,1014.8286,159.8571,2162.5714,0,3431548.805,57230.6338,2697788.038,44993.1294,733760.7673,12237.5045,TVMwL
