CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
32.0,26.3333,1.0,1.0,100.0,16384.0,3.0,1.274,1.096,1.032,73046698.67,1733544619.0,1218.2,577.8,1930.8,0.0,2807035.966,750912.4652,WSKwL
1.6667,1.0,2.0,1.6667,1.0,2138261.693,33.0046,0.1717,0.0683,0.0783,80547157.33,7802275157.0,10.2,7.5,15.0,0.0,923584.2107,931925.1634,TSK
5.1429,10.4286,2.0,5.4286,2.8571,4786409.695,35.3745,0.115,0.115,0.0517,1327556608.0,7852124843.0,1307.5,669.1667,1883.1667,0.0,2825156.269,792516.995,TWMwL
3.1667,6.0,1.6667,2.1667,3.0,126151.8799,14.9996,0.1033,0.2467,0.3517,7006058496.0,7886143488.0,13.0,7.8333,24.1667,0.0,913957.6344,921673.1055,TVM
2.0,1.0,1.0,1.0,6.3333,76595.2,9.2,0.0083,0.0467,0.2,6959925248.0,7879720960.0,8.2,7.0,10.3333,0.0,913267.5874,921781.4459,TVM
26.0,2.0,100.0,0.3333,1.0,2125824.0,32.0,1.055,1.035,1.1,80627712.0,2692618240.0,10.4,7.8333,15.1667,0.0,913060.8,921489.2,WSK
5.5,10.5,4.3333,2.5,3.8333,16384.0,3.0,0.244,0.248,0.192,6978856960.0,7887524523.0,1158.0,429.75,2462.0,0.0,2293265.169,638989.088,NTSwL
26.0,1.0,92.1667,8.8333,1.0,2107379.7,32.998,1.0,1.0033,1.07,1190878549.0,4027490304.0,8.8667,7.8333,9.8333,0.0,912201.6276,921497.2252,WSK
1.0,1.0,1.0,1.0,1.0,2163507.2,33.0,0.0,0.0,0.0217,73266517.33,7849389397.0,8.6333,7.8333,10.0,0.0,912972.2462,921627.3874,TWM
13.0,20.0,15.0,8.5,9.0,283365.4696,31.8955,0.6914,0.6857,0.6414,6995843755.0,7882761557.0,1435.0,905.3333,2131.3333,0.0,2694157.982,735857.8279,TVMwL
