CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
32.0,26.3333,1.0,1.0,100.0,16384.0,273.2033,3.0,0.05,1.274,1.096,1.032,1.0,73046698.67,20.0,1628691115.0,21.0,1733544619.0,1218.2,577.8,1930.8,0.0,3557948.431,59328.8049,2807035.966,46807.3364,750912.4652,12521.4685,WSKwL
1.6667,1.0,2.0,1.6667,1.0,2138261.693,35655.5226,33.0046,0.5504,0.1717,0.0683,0.0783,1.0,80547157.33,94.0,7697421653.0,94.0,7802275157.0,10.2,7.5,15.0,0.0,1855509.374,30945.7868,923584.2107,15403.3391,931925.1634,15542.4477,TSK
5.1429,10.4286,2.0,5.4286,2.8571,4786409.695,79826.7127,35.3745,0.59,0.115,0.115,0.0517,16.0,1327556608.0,95.0,7747271339.0,95.0,7852124843.0,1307.5,669.1667,1883.1667,0.0,3617673.264,60324.7168,2825156.269,47109.4926,792516.995,13215.2242,TWMwL
3.1667,6.0,1.6667,2.1667,3.0,126151.8799,2103.934,14.9996,0.2502,0.1033,0.2467,0.3517,86.0,7006058496.0,95.0,7781289984.0,95.0,7886143488.0,13.0,7.8333,24.1667,0.0,1835630.74,30604.047,913957.6344,15237.7065,921673.1055,15366.3405,TVM
2.0,1.0,1.0,1.0,6.3333,76595.2,1277.2253,9.2,0.1534,0.0083,0.0467,0.2,85.0,6959925248.0,95.0,7774867456.0,95.0,7879720960.0,8.2,7.0,10.3333,0.0,1835049.033,30594.3487,913267.5874,15226.2019,921781.4459,15368.1468,TVM
26.0,2.0,100.0,0.3333,1.0,2125824.0,35454.036,32.0,0.5337,1.055,1.035,1.1,1.0,80627712.0,32.0,2587764736.0,32.0,2692618240.0,10.4,7.8333,15.1667,0.0,1834550.0,30586.0287,913060.8,15222.7543,921489.2,15363.2744,WSK
5.5,10.5,4.3333,2.5,3.8333,16384.0,273.2033,3.0,0.05,0.244,0.248,0.192,85.0,6978856960.0,95.0,7782671019.0,95.0,7887524523.0,1158.0,429.75,2462.0,0.0,2932254.257,48903.5066,2293265.169,38246.5839,638989.088,10656.9227,NTSwL
26.0,1.0,92.1667,8.8333,1.0,2107379.7,35146.4259,32.998,0.5503,1.0,1.0033,1.07,14.8333,1190878549.0,48.0,3922636800.0,49.0,4027490304.0,8.8667,7.8333,9.8333,0.0,1833698.853,30571.8382,912201.6276,15208.4299,921497.2252,15363.4082,WSK
1.0,1.0,1.0,1.0,1.0,2163507.2,36076.4916,33.0,0.5503,0.0,0.0,0.0217,1.0,73266517.33,95.0,7744535893.0,95.0,7849389397.0,8.6333,7.8333,10.0,0.0,1834599.634,30591.9565,912972.2462,15223.816,921627.3874,15368.1405,TWM
13.0,20.0,15.0,8.5,9.0,283365.4696,4725.1204,31.8955,0.5319,0.6914,0.6857,0.6414,85.0,6995843755.0,95.0,7777908053.0,95.0,7882761557.0,1435.0,905.3333,2131.3333,0.0,3430015.81,57185.9922,2694157.982,44917.6056,735857.8279,12268.3866,TVMwL
